date,open,high,low,close,volume
2022-02-01 14:30:00+00:00,5.59499979019165,5.59499979019165,5.264999866485596,5.489999771118164,7013
2022-02-02 14:30:00+00:00,5.534999847412109,5.534999847412109,5.235000133514404,5.264999866485596,12660
2022-02-03 14:30:00+00:00,5.159999847412109,5.25,4.800000190734863,5.099999904632568,7173
2022-02-04 14:30:00+00:00,5.25,5.25,5.099999904632568,5.144999980926514,3987
2022-02-07 14:30:00+00:00,5.400000095367432,5.534999847412109,5.175000190734863,5.309999942779541,2620
2022-02-08 14:30:00+00:00,5.519999980926514,5.519999980926514,5.340000152587891,5.429999828338623,8653
2022-02-09 14:30:00+00:00,5.550000190734863,5.864999771118164,5.550000190734863,5.625,4633
2022-02-10 14:30:00+00:00,5.400000095367432,6.300000190734863,5.25,5.699999809265137,6800
2022-02-11 14:30:00+00:00,5.59499979019165,5.849999904632568,5.340000152587891,5.550000190734863,6153
2022-02-14 14:30:00+00:00,5.639999866485596,5.820000171661377,5.385000228881836,5.489999771118164,2780
2022-02-15 14:30:00+00:00,5.744999885559082,6.300000190734863,5.489999771118164,5.65500020980835,6920
2022-02-16 14:30:00+00:00,5.775000095367432,5.985000133514404,5.59499979019165,5.864999771118164,2267
2022-02-17 14:30:00+00:00,5.730000019073486,5.985000133514404,5.474999904632568,5.699999809265137,4893
2022-02-18 14:30:00+00:00,5.400000095367432,5.699999809265137,5.114999771118164,5.175000190734863,9827
2022-02-22 14:30:00+00:00,5.099999904632568,5.204999923706055,4.815000057220459,4.949999809265137,11520
2022-02-23 14:30:00+00:00,4.949999809265137,5.25,4.800000190734863,5.010000228881836,9393
2022-02-24 14:30:00+00:00,4.650000095367432,5.099999904632568,4.5,4.860000133514404,10673
2022-02-25 14:30:00+00:00,4.5,5.010000228881836,4.5,4.800000190734863,6973
2022-02-28 14:30:00+00:00,5.400000095367432,5.400000095367432,4.545000076293945,4.84499979019165,16640
2022-03-01 14:30:00+00:00,4.920000076293945,5.699999809265137,4.664999961853027,4.755000114440918,37800
2022-03-02 14:30:00+00:00,4.664999961853027,5.025000095367432,4.664999961853027,4.949999809265137,7607
2022-03-03 14:30:00+00:00,4.965000152587891,5.114999771118164,4.590000152587891,4.724999904632568,9020
2022-03-04 14:30:00+00:00,4.755000114440918,4.90500020980835,4.590000152587891,4.664999961853027,6827
2022-03-07 14:30:00+00:00,4.800000190734863,4.800000190734863,4.5,4.5,8533
2022-03-08 14:30:00+00:00,4.514999866485596,4.800000190734863,4.5,4.695000171661377,7313
2022-03-09 14:30:00+00:00,4.800000190734863,4.889999866485596,4.485000133514404,4.769999980926514,13987
2022-03-10 14:30:00+00:00,4.650000095367432,4.650000095367432,4.125,4.425000190734863,45287
2022-03-11 14:30:00+00:00,4.349999904632568,4.5,4.199999809265137,4.199999809265137,8900
2022-03-14 13:30:00+00:00,4.349999904632568,4.349999904632568,3.9749999046325684,4.005000114440918,16793
2022-03-15 13:30:00+00:00,3.9000000953674316,4.260000228881836,3.9000000953674316,4.065000057220459,7760
2022-03-16 13:30:00+00:00,4.079999923706055,4.349999904632568,4.079999923706055,4.275000095367432,8427
2022-03-17 13:30:00+00:00,4.485000133514404,4.650000095367432,4.275000095367432,4.635000228881836,10667
2022-03-18 13:30:00+00:00,4.5,4.724999904632568,4.5,4.650000095367432,8620
2022-03-21 13:30:00+00:00,4.650000095367432,4.949999809265137,4.650000095367432,4.800000190734863,16327
2022-03-22 13:30:00+00:00,4.800000190734863,4.949999809265137,4.710000038146973,4.90500020980835,6833
2022-03-23 13:30:00+00:00,4.889999866485596,5.099999904632568,4.425000190734863,4.5,28287
2022-03-24 13:30:00+00:00,4.679999828338623,4.679999828338623,4.335000038146973,4.394999980926514,18700
2022-03-25 13:30:00+00:00,4.5,4.574999809265137,4.244999885559082,4.485000133514404,20640
2022-03-28 13:30:00+00:00,4.5,4.650000095367432,4.275000095367432,4.320000171661377,63060
2022-03-29 13:30:00+00:00,3.1050000190734863,3.434999942779541,3.0,3.3299999237060547,511487
2022-03-30 13:30:00+00:00,3.390000104904175,3.434999942779541,3.255000114440918,3.2699999809265137,151200
2022-03-31 13:30:00+00:00,3.4649999141693115,3.4649999141693115,3.1500000953674316,3.3450000286102295,205393
2022-04-01 13:30:00+00:00,3.375,3.375,3.0299999713897705,3.1500000953674316,99880
2022-04-04 13:30:00+00:00,3.180000066757202,3.359999895095825,3.1649999618530273,3.2249999046325684,56433
2022-04-05 13:30:00+00:00,3.375,3.5250000953674316,3.194999933242798,3.4200000762939453,179373
2022-04-06 13:30:00+00:00,3.4200000762939453,3.450000047683716,3.1649999618530273,3.255000114440918,58787
2022-04-07 13:30:00+00:00,3.255000114440918,3.4200000762939453,3.1649999618530273,3.2100000381469727,34340
